gen_model,K_true,hierch,kappa_mean,psi_mean,rep_id,d_vi_WST_minus_SST,d_ari_WST_minus_SST,d_looic_WST_minus_SST,WST_better_vi,SST_better_vi,WST_better_ari,SST_better_ari,WST_better_looic,SST_better_looic
WST,3,weak,0.75,0.2,3,0,0,7.185560275959688,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WST,3,medium,0.75,0.7,3,0.09995291713327392,-0.027802469500806004,-7.026403367869534,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE
SST,8,medium,3,0.7,3,0,0,15.505515139699128,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,8,weak,3,0.2,3,0,0,-0.2631954169992241,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,3,strong,0.75,1.3,3,-0.19213405204876355,0.05043729861248103,1.680771720210032,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
WST,3,weak,1.5,0.2,3,0,0,-16.995750577500075,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,3,strong,1.5,1.3,3,0,0,-4.019616180639787,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SST,8,strong,3,1.3,3,0,0,23.854485831951024,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WST,3,medium,1.5,0.7,3,0,0,-4.725055211891231,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
SST,8,weak,6,0.2,3,0,0,22.160227130299972,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,8,medium,6,0.7,3,0,0,25.41488267370005,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
SST,8,strong,6,1.3,3,0,0,-11.480517092599257,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,5,weak,0.75,0.2,3,0,0,-0.48684303775917215,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,3,weak,3,0.2,3,0,0,0.09172354889960843,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
WST,3,medium,3,0.7,3,0,0,-19.02467886064005,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
WST,5,strong,0.75,1.3,3,-0.02754177750640696,0.11719267269918299,11.215813331929894,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE
WST,3,strong,3,1.3,3,0,0,1.6476325056210044,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
