gen_model,K_true,hierch,kappa_mean,psi_mean,fit_model,n_reps,ari,vi,nvi,exact_K,K_abs_err,looic,pk_bad
SST,5,weak,1.5,0.2,SST,3,0.8937231086279783,0.3780205702065283,0.16280459805748906,0.3333333333333333,0.6666666666666666,8207.209893271684,0.00809792843691149
SST,5,weak,1.5,0.2,DC-SBM,3,0.8937231086279783,0.42713224733914196,0.18395584612617488,0.3333333333333333,0.6666666666666666,8206.695340485294,0.006591337099811683
SST,5,weak,3,0.2,WST,3,1,0,0,1,0,9922.56068125036,0.00433145009416196
SST,5,weak,3,0.2,SST,3,1,0,0,1,0,9915.09543594189,0.0020715630885122403
SST,5,weak,3,0.2,DC-SBM,3,1,0,0,1,0,9920.908948919663,0
SST,5,weak,6,0.2,WST,3,1,0,0,1,0,12803.0050781015,0.0013182674199623367
SST,5,weak,6,0.2,SST,3,1,0,0,1,0,12792.511956515867,3.766478342749534e-4
SST,5,weak,6,0.2,DC-SBM,3,1,0,0,1,0,12801.050474529233,0
SST,8,medium,0.75,0.7,WST,3,0.8730213325284664,1.4771732548823946,0.4923910849607982,0,3.3333333333333335,5650.203726994677,0.010357815442561204
SST,8,medium,0.75,0.7,SST,3,0.888725288672064,1.4610189175851733,0.4870063058617244,0,3.6666666666666665,5645.502632024773,0.010922787193973634
SST,8,medium,0.75,0.7,DC-SBM,3,0.7381714871769177,2.09582989201267,0.6986099640042234,0,4.333333333333333,5762.0525296107835,0.019585687382297566
SST,8,medium,1.5,0.7,WST,3,0.7944208800927244,0.5182456250841353,0.1727485416947118,0.6666666666666666,0.6666666666666667,7595.60004350909,0.011676082862523519
SST,8,medium,1.5,0.7,SST,3,0.8095551934143557,0.4680318946314157,0.15601063154380523,0.6666666666666666,0.6666666666666667,7588.290433220007,0.007156308851224106
SST,8,medium,1.5,0.7,DC-SBM,3,0.6241279483855673,1.23351101081249,0.41117033693749666,0,3,7759.9089656748665,0.03389830508474577
SST,8,medium,3,0.7,WST,3,0.9866128153929933,0.04831683939551966,0.01610561313183989,1,0,9751.691386679806,0.0024482109227871966
SST,8,medium,3,0.7,SST,3,0.9866128153929933,0.04831683939551966,0.01610561313183989,1,0,9735.77180901477,0.005084745762711861
SST,8,medium,3,0.7,DC-SBM,3,0.8768991826907547,0.261002499951923,0.08700083331730767,0.3333333333333333,0.6666666666666666,9825.286458490331,0.0033898305084745766
SST,8,medium,6,0.7,WST,3,1,0,0,1,0,13137.219673907033,0
SST,8,medium,6,0.7,SST,3,1,0,0,1,0,13120.6381980207,0
SST,8,medium,6,0.7,DC-SBM,3,0.8645134158555546,0.23937747556314798,0.07979249185438267,0.6666666666666666,0.6666666666666667,13343.2668643243,0
SST,8,strong,0.75,1.3,WST,3,0.710601262713887,0.7908748452246993,0.2636249484082331,0.6666666666666666,0.33333333333333337,5251.399523480553,0.012994350282485866
SST,8,strong,0.75,1.3,SST,3,0.694498473615671,0.786359601262846,0.26211986708761537,0.3333333333333333,0.6666666666666666,5237.9059687777935,0.016572504708097933
SST,8,strong,0.75,1.3,DC-SBM,3,0.647586163956098,1.4667341481566443,0.48891138271888146,0.3333333333333333,2.3333333333333335,5381.043195111487,0.04463276836158194
SST,8,strong,1.5,1.3,WST,3,1,0,0,1,0,7530.51411494473,0.006026365348399234
SST,8,strong,1.5,1.3,SST,3,0.9418298337775177,0.08888888888888899,0.029629629629629665,0.6666666666666666,0.33333333333333337,7511.520943813247,0.00828625235404897
SST,8,strong,1.5,1.3,DC-SBM,3,0.8836596675550353,0.177777777777778,0.05925925925925934,0.3333333333333333,0.6666666666666666,7543.6398728851,0.007909604519774011
SST,8,strong,3,1.3,WST,3,1,0,0,1,0,10226.64642425783,0.0022598870056497167
