gen_model,K_true,hierch,psi_mean,kappa_mean,rep_id,looic__WST,looic__SST,looic__DC-SBM,elpd__WST,elpd__SST,elpd__DC-SBM,pk_bad__WST,pk_bad__SST,pk_bad__DC-SBM,best_rep_looic,win_WST,win_SST,win_DC,split,win_credit_WST,win_credit_SST,win_credit_DC,dloo_WST_vs_SST,dloo_WST_vs_DC,dloo_SST_vs_DC,ordered_best_rep,dloo_ordered_best_vs_DC
WST,8,strong,1.3,0.75,1,5365.26533092254,5378.21933114568,5450.00182906591,-2682.63266546127,-2689.10966557284,-2725.00091453296,0.0163841807909605,0.0180790960451977,0.0124293785310734,5365.26533092254,TRUE,FALSE,FALSE,1,1,0,0,-12.95400022314061,-84.73649814337023,-71.78249792022962,5365.26533092254,-84.73649814337023
WST,5,medium,0.7,6,1,14086.6124235582,14204.7067907164,14083.173058934,-7043.30621177912,-7102.35339535819,-7041.58652946699,0.00112994350282486,0,0,14083.173058934,FALSE,FALSE,TRUE,1,0,0,1,-118.09436715820084,3.439364624198788,121.53373178239963,14086.6124235582,3.439364624198788
WST,8,medium,0.7,1.5,1,7578.21163670366,7644.5052275778,7778.27333671042,-3789.10581835183,-3822.2526137889,-3889.13666835521,0.00395480225988701,0.00621468926553672,0.00903954802259887,7578.21163670366,TRUE,FALSE,FALSE,1,1,0,0,-66.29359087414014,-200.06170000676047,-133.76810913262034,7578.21163670366,-200.06170000676047
WST,8,strong,1.3,1.5,1,6907.82632205062,6905.39560001465,6883.90982743579,-3453.91316102531,-3452.69780000732,-3441.9549137179,0.00395480225988701,0.00847457627118644,0.00508474576271186,6883.90982743579,FALSE,FALSE,TRUE,1,0,0,1,2.4307220359696657,23.91649461482939,21.485772578859724,6905.39560001465,21.485772578859724
WST,8,weak,0.2,1.5,1,7677.73612597345,7717.35007320426,7686.87467582528,-3838.86806298673,-3858.67503660213,-3843.43733791264,0.0124293785310734,0.00564971751412429,0.00282485875706215,7677.73612597345,TRUE,FALSE,FALSE,1,1,0,0,-39.61394723081048,-9.138549851830248,30.475397378980233,7677.73612597345,-9.138549851830248
SST,3,medium,0.7,0.75,2,5821.91909875581,5822.79650599374,5821.24950525397,-2910.9595493779,-2911.39825299687,-2910.62475262699,0.00508474576271186,0.00677966101694915,0.0508474576271186,5821.24950525397,FALSE,FALSE,TRUE,1,0,0,1,-0.8774072379292193,0.669593501840609,1.5470007397698282,5821.91909875581,0.669593501840609
SST,3,strong,1.3,0.75,2,5917.33923593745,5910.93968413235,5896.92368761171,-2958.66961796872,-2955.46984206617,-2948.46184380585,0.023728813559322,0.0214689265536723,0.0129943502824859,5896.92368761171,FALSE,FALSE,TRUE,1,0,0,1,6.3995518051006,20.41554832574002,14.015996520639419,5910.93968413235,14.015996520639419
WST,8,weak,0.2,3,1,9755.54618035137,9784.06355483498,9891.31907409947,-4877.77309017569,-4892.03177741749,-4945.65953704973,0.00112994350282486,0.00169491525423729,0.00112994350282486,9755.54618035137,TRUE,FALSE,FALSE,1,1,0,0,-28.517374483610183,-135.77289374810061,-107.25551926449043,9755.54618035137,-135.77289374810061
SST,3,weak,0.2,0.75,2,6969.02087918094,6966.82629496665,6964.48804438136,-3484.51043959047,-3483.41314748332,-3482.24402219068,0.00564971751412429,0.00790960451977401,0.00677966101694915,6964.48804438136,FALSE,FALSE,TRUE,1,0,0,1,2.194584214290444,4.532834799580087,2.338250585289643,6966.82629496665,2.338250585289643
WST,8,medium,0.7,3,1,9349.02871281815,9356.06164383431,9345.52916345539,-4674.51435640907,-4678.03082191716,-4672.7645817277,0.00734463276836158,0.0096045197740113,0.00847457627118644,9345.52916345539,FALSE,FALSE,TRUE,1,0,0,1,-7.032931016159637,3.4995493627593532,10.53248037891899,9349.02871281815,3.4995493627593532
