"gen_model","hierch","kappa_mean","K_true","fit_model","n_runs","mean_K_hat","sd_K_hat","prop_K_true","prop_K_under","prop_K_over","mean_ari","sd_ari","mean_vi","mean_elpd","sd_elpd","mean_pk_bad"
"WST","weak",6,8,"SST",4,8,0,1,0,0,1,0,0,-6577.29486510864,136.760140932346,0.00141242937853108
"WST","weak",6,8,"WST",4,8,0,1,0,0,1,0,0,-6535.30401349016,134.343795376136,0.000423728813559323
"WST","weak",6,8,"DC-SBM",4,7.25,0.5,0.25,0.75,0,0.922291735265064,0.089729775125948,0.182932287331038,-6680.68946435294,265.141765460221,0.00056497175141243
"WST","strong",0.75,3,"SST",4,3,0,1,0,0,0.97478135069376,0.0291199879311135,0.0960670260243822,-3118.19400699955,328.320809489848,0.0168079096045198
"WST","strong",0.75,3,"WST",4,3,0,1,0,0,0.97478135069376,0.0291199879311135,0.0960670260243822,-3115.9250297237,328.046742509486,0.0151129943502825
"WST","strong",0.75,3,"DC-SBM",4,3,0,1,0,0,0.98739067534688,0.0252186493062405,0.0480335130121913,-3114.19042239743,327.929596885284,0.0108757062146893
"WST","strong",0.75,5,"SST",4,4.5,1,0.75,0.25,0,0.763970363304788,0.196502826649015,0.737922922096481,-2522.58640919767,315.627831023495,0.0199152542372881
"WST","strong",0.75,5,"WST",4,3.75,0.957427107756338,0.25,0.75,0,0.794982076956157,0.187462528879324,0.938149732765487,-2526.07543657428,314.668264534066,0.0125706214689266
"WST","strong",0.75,5,"DC-SBM",4,46.25,27.5,0.25,0,0.75,0.25,0.5,2.68872187554087,-2716.04864032022,179.567044079776,0.0384180790960452
"WST","strong",0.75,8,"SST",4,7.5,1,0,0.75,0.25,0.899636632237778,0.0779312336056354,0.521373323071376,-2662.15019429227,372.221628705358,0.0912429378531074
"WST","strong",0.75,8,"WST",4,7,0.816496580927726,0.25,0.75,0,0.864286366468218,0.130772969892197,0.589849523957268,-2520.35759758496,126.320687748778,0.0132768361581921
"WST","strong",0.75,8,"DC-SBM",4,33.5,30.5995642670502,0,0.5,0.5,0.456048408176068,0.53146794879546,1.69202267711946,-2685.64336252211,259.064999546449,0.0505649717514124
"WST","strong",1.5,3,"SST",4,2.75,0.5,0.75,0.25,0,1,0,0.166666666666667,-3530.06978063275,745.161348369393,0.0286723163841808
"WST","strong",1.5,3,"WST",4,3,0,1,0,0,0.953506698187549,0.0929866036249015,0.150577134640758,-3515.603183701,735.2103132631,0.00875706214689265
"WST","strong",1.5,3,"DC-SBM",4,17.25,28.5,0.75,0,0.25,0.703506698187549,0.477127838123139,1.2310591583626,-3568.07607280039,666.115451653132,0.0235875706214689
"WST","strong",1.5,5,"SST",4,5,0,1,0,0,0.963435795736242,0.073128408527516,0.1,-3781.28916521656,368.082273703616,0.0057909604519774
"WST","strong",1.5,5,"WST",4,5,0,1,0,0,0.963435795736242,0.073128408527516,0.1,-3775.16602901664,357.647905121359,0.00169491525423729
"WST","strong",1.5,5,"DC-SBM",4,5,0,1,0,0,0.979609149176826,0.040781701646349,0.0670153664997203,-3770.1052800605,360.112251120252,0.0018361581920904
"WST","strong",1.5,8,"SST",4,8.25,0.5,0.75,0,0.25,0.961845943294647,0.0531098281249776,0.119636993512598,-3429.99420648181,97.2554607066707,0.0127118644067797
"WST","strong",1.5,8,"WST",4,7.5,0.577350269189626,0.5,0.5,0,0.961145867632532,0.077708264734936,0.120632810332186,-3461.60066053515,101.570064688934,0.00932203389830508
"WST","strong",1.5,8,"DC-SBM",4,7.75,0.5,0.75,0.25,0,0.961145867632532,0.077708264734936,0.0622994769988523,-3427.09505048596,88.7671151166078,0.00550847457627118
"WST","strong",3,3,"SST",4,3,0,1,0,0,0.98739067534688,0.0252186493062405,0.0480335130121913,-4695.60960957413,552.458045358044,0.00536723163841808
