"gen_model","hierch","kappa_mean","K_true","fit_model","zetaW_blk_mean","zetaW_blk_lo","zetaW_blk_hi","zetaS_blk_mean","zetaS_blk_lo","zetaS_blk_hi","cov_block_emp_mean"
"WST","strong",0.75,5,"SST",0.998142088330429,0.995342985628663,0.99947807201182,0.363542331750081,0.182763908240354,0.478881387108441,0.987739929052429
"WST","strong",0.75,5,"WST",0.998133524808082,0.996527680174516,0.99912961647297,0.208431708825317,0.0377536455114303,0.360762208580092,0.97778492063492
"WST","strong",0.75,5,"DC-SBM",0.94226680899768,0.911666187196717,0.990539678206047,0.527427440364595,0.359679108272932,0.61580614674581,0.837269444444444
"WST","strong",0.75,8,"SST",0.990264634699419,0.981722092879735,0.995889657968416,0.352474599579035,0.23326624320339,0.425371707482331,0.894416771042454
"WST","strong",0.75,8,"WST",0.988138796944992,0.969551306891527,0.996335579323513,0.360230614737748,0.242812678244684,0.43553161800302,0.909220857383358
"WST","strong",0.75,8,"DC-SBM",0.951130689117735,0.918644068011123,0.987390680961562,0.412682805627072,0.214881789809043,0.564487756283422,0.854537621212121
"WST","strong",1.5,3,"SST",0.999906539555411,0.999691384815196,1,0.154406210009303,0.0183890896358544,0.403085161650677,0.809316666666667
"WST","strong",1.5,3,"WST",0.99993892291512,0.999811782355853,1,0.00896324933427541,0.00736026620002122,0.0113154611783218,0.996722222222222
"WST","strong",1.5,3,"DC-SBM",0.972527197806365,0.906592472541642,1,0.126158442079971,0,0.428783147516346,0.945115333333333
"WST","strong",1.5,5,"SST",0.99985170519591,0.999564933468563,1,0.328589384156266,0.216190025437525,0.480430763409828,0.995199603174603
"WST","strong",1.5,5,"WST",0.999969135802469,0.999895061728395,1,0.32688695394112,0.215519027777778,0.475713621794871,0.992819444444444
"WST","strong",1.5,5,"DC-SBM",1,1,1,0.324963492063492,0.215,0.469875873015873,0.995933333333333
"WST","strong",1.5,8,"SST",0.997897501456022,0.993833156738084,0.999845241009226,0.33959204521433,0.332754159056116,0.344312058424795,0.990981914381914
"WST","strong",1.5,8,"WST",0.99937784732282,0.998375823602746,0.999960918694122,0.327493784497269,0.256119526022713,0.391783228020032,0.992666402116402
"WST","strong",1.5,8,"DC-SBM",0.999986928104575,0.999955555555556,1,0.306084983612974,0.25033946635826,0.339119301587302,0.997433531746031
"WST","strong",3,3,"SST",1,1,1,0.500583333333333,0.000919444444444444,0.999975,1
"WST","strong",3,3,"WST",1,1,1,0.500527777777778,0.00143333333333333,0.999777777777777,0.998638888888889
"WST","strong",3,3,"DC-SBM",1,1,1,0.5,0,1,1
"WST","strong",3,5,"SST",1,1,1,0.3999875,0.230041111111111,0.570001944444444,0.999988888888889
"WST","strong",3,5,"WST",1,1,1,0.400073611111111,0.23,0.570071388888889,0.999877777777778
"WST","strong",3,5,"DC-SBM",1,1,1,0.4,0.23,0.57,1
