"gen_model","fit_model_clean","K_true","hierch_label","kappa_mean","n","ari_mean","ari_sd","ari_median","ari_q25","ari_q75"
"SST","SST",3,"weak",3,4,1,0,1,1,1
"SST","SST",3,"weak",6,4,0.98739067534688,0.0252186493062405,1,0.98739067534688,1
"SST","SST",3,"medium",0.75,4,0.727331149948371,0.260696511681351,0.707809990775162,0.509827140592015,0.925314000131519
"SST","SST",3,"medium",1.5,4,0.98739067534688,0.0252186493062405,1,0.98739067534688,1
"SST","SST",3,"medium",3,4,0.975461868487873,0.0490762630242535,1,0.975461868487873,1
"SST","SST",3,"medium",6,4,0.97478135069376,0.0291199879311135,0.97478135069376,0.949562701387519,1
"SST","SST",3,"strong",0.75,4,1,0,1,1,1
"SST","SST",3,"strong",1.5,4,0.975416666666667,0.0491666666666665,1,0.975416666666667,1
"SST","SST",3,"strong",3,4,0.975461868487873,0.0490762630242535,1,0.975461868487873,1
"SST","SST",3,"strong",6,4,1,0,1,1,1
"SST","SST",5,"weak",0.75,4,0.835362107525059,0.0952358602730544,0.820633120977043,0.780522453790337,0.875472774711765
"SST","SST",5,"weak",1.5,4,0.934580130100532,0.130839739798935,1,0.934580130100532,1
"SST","SST",5,"weak",3,4,0.989303843364757,0.021392313270486,1,0.989303843364757,1
"SST","SST",5,"weak",6,4,1,0,1,1,1
"SST","SST",5,"medium",0.75,4,0.899757458595282,0.120160048247827,0.93587291315768,0.867718841658692,0.967911530094271
"SST","SST",5,"medium",1.5,4,1,0,1,1,1
"SST","SST",5,"medium",3,4,1,0,1,1,1
"SST","SST",5,"medium",6,4,1,0,1,1,1
"SST","SST",5,"strong",0.75,4,0.947450345467729,0.0400191411146321,0.937635464507292,0.91717427988075,0.967911530094271
"SST","SST",5,"strong",1.5,4,0.959285683747988,0.0566196096337082,0.978607686729514,0.937893370477501,1
"SST","SST",5,"strong",3,4,0.989303843364757,0.021392313270486,1,0.989303843364757,1
"SST","SST",5,"strong",6,4,1,0,1,1,1
