"gen_model","fit_model_clean","K_true","hierch_label","kappa_mean","n","vi_mean","vi_sd","vi_median","vi_q25","vi_q75"
"SST","WST",8,"strong",3,4,0.414311174469905,0.124585088134078,0.42862234893981,0.334600190076381,0.508333333333333
"SST","WST",8,"strong",6,4,0,0,0,0,0
"SST","SST",3,"weak",0.75,4,0.692578623305983,0.816191333160904,0.592675996251385,4.44089209850063e-16,1.28525461955737
"SST","SST",3,"weak",1.5,4,0.210456437522409,0.420912875044818,4.44089209850063e-16,4.44089209850063e-16,0.210456437522409
"SST","SST",3,"weak",3,4,4.44089209850063e-16,0,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16
"SST","SST",3,"weak",6,4,0.0480335130121913,0.0960670260243818,4.44089209850063e-16,4.44089209850063e-16,0.0480335130121913
"SST","SST",3,"medium",0.75,4,0.962398651957726,0.539884923789282,0.940783375158504,0.595766339198184,1.30741568791804
"SST","SST",3,"medium",1.5,4,0.0480335130121913,0.0960670260243818,4.44089209850063e-16,4.44089209850063e-16,0.0480335130121913
"SST","SST",3,"medium",3,4,0.0793701899335793,0.158740379867158,4.44089209850063e-16,4.44089209850063e-16,0.0793701899335793
"SST","SST",3,"medium",6,4,0.0960670260243822,0.110928646670847,0.0960670260243822,4.44089209850063e-16,0.192134052048764
"SST","SST",3,"strong",0.75,4,4.44089209850063e-16,0,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16
"SST","SST",3,"strong",1.5,4,0.0954656523719856,0.19093130474397,4.44089209850063e-16,4.44089209850063e-16,0.0954656523719856
"SST","SST",3,"strong",3,4,0.0793701899335793,0.158740379867158,4.44089209850063e-16,4.44089209850063e-16,0.0793701899335793
"SST","SST",3,"strong",6,4,4.44089209850063e-16,0,4.44089209850063e-16,4.44089209850063e-16,4.44089209850063e-16
"SST","SST",5,"weak",0.75,4,0.408384705554024,0.202578939439881,0.452346996883052,0.332501121082418,0.528230581354659
"SST","SST",5,"weak",1.5,4,0.297180468885217,0.378072864498082,0.2,0,0.497180468885217
"SST","SST",5,"weak",3,4,0.041883202211766,0.083766404423532,0,0,0.041883202211766
"SST","SST",5,"weak",6,4,0,0,0,0,0
"SST","SST",5,"medium",0.75,4,0.385164970462919,0.456252699467975,0.251299213270598,0.125649606635298,0.510814577098218
"SST","SST",5,"medium",1.5,4,0,0,0,0,0
"SST","SST",5,"medium",3,4,0,0,0,0,0
"SST","SST",5,"medium",6,4,0,0,0,0,0
"SST","SST",5,"strong",0.75,4,0.208412976696025,0.159362000448335,0.249293144544985,0.125649606635298,0.332056514605713
"SST","SST",5,"strong",1.5,4,0.149632411474291,0.203524020967985,0.083766404423532,0,0.233398815897823
"SST","SST",5,"strong",3,4,0.041883202211766,0.083766404423532,0,0,0.041883202211766
"SST","SST",5,"strong",6,4,0,0,0,0,0
"SST","SST",8,"weak",0.75,4,0.868613889307214,0.948793492822027,0.643484490768792,0.310484256765873,1.20161412331013
"SST","SST",8,"weak",1.5,4,0.036129310262738,0.072258620525476,0,0,0.036129310262738
"SST","SST",8,"weak",3,4,0,0,0,0,0
"SST","SST",8,"weak",6,4,0,0,0,0,0
"SST","SST",8,"medium",0.75,4,0.78393876928419,0.720483298703928,0.749217920623235,0.317697004999267,1.21545968490816
"SST","SST",8,"medium",1.5,4,0.198024867994015,0.305476921626544,0.0739820046548135,0,0.272006872648828
"SST","SST",8,"medium",3,4,0.035375937481971,0.070751874963942,0,0,0.035375937481971
"SST","SST",8,"medium",6,4,0,0,0,0,0
"SST","SST",8,"strong",0.75,4,0.570317273987206,0.491906650268938,0.45725637836064,0.309384435437691,0.718189216910155
"SST","SST",8,"strong",1.5,4,0,0,0,0,0
"SST","SST",8,"strong",3,4,0,0,0,0,0
