# source, target, time, date
10,32,1637,2016
10,32,1638,2016
10,32,1639,2016
10,32,1640,2016
10,14,1646,2016
10,14,1647,2016
10,14,1655,2016
10,32,1662,2016
10,20,1664,2016
10,32,1668,2016
10,32,1669,2016
10,32,1671,2016
10,32,1672,2016
10,32,1674,2016
10,32,1675,2016
10,32,1676,2016
10,32,1683,2016
10,32,1691,2016
10,32,1692,2016
10,32,1693,2016
10,32,1694,2016
10,32,1695,2016
10,32,1696,2016
10,32,1697,2016
10,32,1698,2016
10,32,1699,2016
10,32,1700,2016
10,32,1701,2016
10,32,1702,2016
10,32,1703,2016
10,32,1704,2016
10,32,1705,2016
10,32,1706,2016
10,32,1707,2016
10,32,1708,2016
10,32,1709,2016
10,32,1710,2016
10,32,1711,2016
10,32,1712,2016
10,32,1713,2016
10,32,1716,2016
10,24,1719,2016
10,24,1720,2016
10,34,1733,2016
10,27,1740,2016
10,27,1741,2016
10,26,1778,2016
10,26,1779,2016
10,27,1783,2016
11,5,26,2009
11,5,36,2009
11,5,37,2009
11,17,70,2010
11,17,192,2010
11,13,260,2010
11,17,399,2011
11,17,400,2011
11,18,640,2012
11,18,645,2012
11,17,790,2012
11,20,791,2012
11,20,792,2012
11,18,794,2012
11,18,795,2012
11,17,811,2012
11,17,819,2012
11,20,890,2013
11,20,891,2013
11,26,1278,2015
11,22,1287,2015
11,22,1288,2015
12,4,22,2009
12,4,149,2010
12,4,169,2010
12,4,170,2010
12,4,171,2010
12,4,172,2010
12,4,173,2010
12,17,236,2010
12,4,237,2010
12,4,239,2010
12,4,241,2010
12,17,242,2010
12,17,243,2010
12,15,288,2010
12,15,289,2010
12,5,304,2010
12,5,305,2010
12,6,341,2011
12,5,365,2011
12,15,489,2011
12,17,565,2012
12,11,862,2013
12,11,990,2013
12,22,1014,2013
12,15,1015,2013
12,22,1016,2013
12,22,1017,2013
12,18,1067,2013
12,11,1100,2013
12,24,1190,2014
12,24,1203,2014
12,28,1306,2015
12,27,1334,2015
12,27,1335,2015
12,22,1337,2015
12,22,1338,2015
12,11,1358,2015
12,27,1385,2015
12,20,1546,2015
12,27,1551,2016
12,27,1553,2016
12,27,1554,2016
12,33,1558,2016
12,33,1559,2016
12,33,1561,2016
12,33,1616,2016
12,33,1617,2016
12,20,1688,2016
12,27,1742,2016
12,26,1789,2016
12,26,1790,2016
12,26,1791,2016
12,26,1792,2016
13,18,427,2011
13,18,428,2011
13,18,429,2011
13,18,430,2011
13,18,432,2011
13,18,434,2011
13,15,484,2011
13,11,486,2011
13,11,488,2011
13,9,577,2012
13,21,581,2012
13,16,588,2012
13,7,608,2012
13,5,655,2012
13,5,673,2012
13,19,675,2012
13,0,676,2012
13,6,678,2012
13,10,679,2012
13,19,685,2012
13,19,687,2012
13,19,688,2012
13,19,689,2012
13,19,690,2012
13,19,691,2012
13,19,692,2012
13,19,693,2012
13,19,694,2012
13,19,695,2012
13,19,696,2012
13,19,697,2012
13,19,698,2012
13,19,699,2012
13,19,700,2012
13,19,701,2012
13,17,702,2012
13,19,703,2012
13,19,705,2012
13,19,707,2012
13,19,709,2012
13,19,710,2012
13,19,712,2012
13,19,723,2012
13,1,725,2012
13,1,727,2012
13,1,728,2012
13,5,730,2012
13,5,731,2012
13,5,734,2012
13,19,736,2012
13,19,737,2012
13,19,738,2012
13,19,739,2012
13,19,740,2012
13,19,741,2012
13,19,742,2012
13,19,743,2012
13,19,744,2012
13,19,745,2012
13,19,746,2012
13,7,748,2012
13,7,749,2012
13,7,750,2012
13,7,752,2012
13,14,755,2012
13,14,756,2012
13,14,757,2012
13,14,758,2012
13,10,760,2012
13,14,761,2012
13,19,764,2012
13,19,765,2012
13,21,767,2012
13,21,768,2012
13,2,769,2012
13,2,771,2012
13,14,780,2012
13,14,781,2012
13,5,785,2012
13,5,800,2012
13,5,801,2012
13,5,802,2012
13,11,812,2012
13,14,816,2012
13,19,817,2012
13,19,826,2012
13,19,827,2012
13,19,828,2012
13,19,829,2012
13,19,836,2012
13,19,837,2012
13,19,860,2013
13,2,865,2013
13,2,875,2013
13,2,876,2013
13,2,877,2013
13,2,886,2013
13,5,887,2013
13,19,894,2013
13,19,895,2013
13,19,896,2013
13,19,897,2013
13,0,912,2013
13,0,916,2013
13,19,918,2013
13,21,919,2013
13,19,920,2013
13,21,921,2013
13,21,922,2013
13,19,935,2013
13,14,951,2013
13,14,952,2013
13,14,953,2013
13,21,965,2013
13,0,980,2013
13,12,1029,2013
13,19,1055,2013
13,15,1063,2013
13,10,1068,2013
13,0,1077,2013
13,14,1082,2013
13,15,1106,2013
13,2,1108,2013
13,14,1128,2014
13,14,1129,2014
13,0,1148,2014
13,0,1151,2014
13,20,1165,2014
13,20,1166,2014
13,20,1167,2014
13,0,1213,2014
13,0,1214,2014
13,0,1215,2014
13,24,1216,2014
13,10,1217,2014
13,2,1242,2015
13,14,1282,2015
13,14,1283,2015
13,14,1284,2015
13,14,1285,2015
13,14,1286,2015
13,22,1322,2015
13,22,1323,2015
13,22,1324,2015
13,26,1326,2015
13,27,1327,2015
13,22,1330,2015
13,22,1331,2015
13,22,1333,2015
13,24,1494,2015
13,14,1521,2015
13,14,1522,2015
13,25,1524,2015
13,25,1528,2015
13,25,1529,2015
13,25,1530,2015
13,25,1531,2015
13,14,1547,2015
13,31,1602,2016
13,32,1603,2016
13,32,1604,2016
13,34,1608,2016
13,34,1610,2016
13,32,1611,2016
13,26,1612,2016
13,33,1614,2016
13,12,1620,2016
13,32,1621,2016
13,32,1623,2016
13,32,1626,2016
13,32,1627,2016
13,32,1628,2016
13,32,1629,2016
13,32,1630,2016
13,32,1648,2016
13,32,1649,2016
13,14,1650,2016
13,14,1653,2016
13,14,1654,2016
13,14,1659,2016
13,32,1663,2016
13,25,1665,2016
13,20,1689,2016
13,20,1690,2016
13,10,1717,2016
13,24,1718,2016
13,25,1721,2016
13,30,1722,2016
13,31,1727,2016
13,31,1728,2016
13,10,1729,2016
13,10,1730,2016
13,32,1766,2016
13,32,1771,2016
13,32,1775,2016
13,22,1818,2016
13,33,1819,2016
13,30,1821,2016
13,25,1824,2016
13,34,1825,2016
13,22,1826,2016
13,25,1828,2016
14,10,52,2009
14,10,53,2009
14,13,76,2010
14,5,80,2010
14,15,82,2010
14,15,87,2010
14,15,89,2010
14,6,91,2010
14,15,93,2010
14,13,120,2010
14,13,121,2010
14,16,222,2010
14,16,225,2010
14,2,226,2010
14,16,227,2010
14,16,228,2010
14,2,229,2010
14,2,230,2010
14,2,231,2010
14,2,232,2010
14,2,233,2010
