gen_model,hierch,psi_mean,K_true,kappa_mean,model,n,ari_mean,ari_sd,nvi_mean,vi_mean,exact_K,mean_K_hat,elpd_mean,looic_mean,psis_tail_mean,best_elpd_rate,violation_rate,thetaW_block_emp,thetaS_block_emp
SST,weak,0.2,3,1.5,DCSBM,4,0.9836794620818793,0.032641075836241484,0.13278322826354055,0.21045643752240933,0.75,2.75,-3902.086453294318,7804.17290658864,0.0024011299435028203,1,0.433881991551956,1,0.99970370370370365
SST,weak,0.2,3,1.5,SST,4,0.9836794620818793,0.032641075836241484,0.13278322826354055,0.21045643752240933,0.75,2.75,-3907.69572997591,7815.391459951825,0.003531073446327685,0,0.4267277728829235,1,0.999606639918181
SST,weak,0.2,3,1.5,WST,4,0.9836794620818793,0.032641075836241484,0.13278322826354055,0.21045643752240933,0.75,2.75,-3904.601479355235,7809.202958710468,0.0018361581920903975,0,0.4273181362753325,1,0.9998138842359947
SST,weak,0.2,3,3,DCSBM,4,1,0,0.10515495892857649,0.16666666666666707,0.75,2.75,-4821.467443015865,9642.934886031733,0.003389830508474575,0.75,0.46820856403524025,1,1
SST,weak,0.2,3,3,SST,4,0.7703339648250616,0.26600942828221624,0.40709908193543953,0.6452367789456811,0.25,2.25,-4909.688128943682,9819.376257887345,0.0029661016949152547,0,0.44783921826627726,NA,NA
SST,weak,0.2,3,3,WST,4,1,0,0.10515495892857649,0.16666666666666707,0.75,2.75,-4819.0485705129395,9638.097141025894,0.004378531073446325,0.25,0.438527394463268,1,1
SST,weak,0.2,3,6,DCSBM,4,0.9516342709702827,0.06743706541683646,0.09614666169813069,0.15238885336106023,1,3,-6537.618261445083,13075.236522890174,0.0028248587570621478,0.75,0.43387169133070247,1,0.799833147942158
SST,weak,0.2,3,6,SST,4,0.8788003286770747,0.2423993426458505,0.21030991785715272,0.3333333333333337,0.5,2.5,-6557.840507746438,13115.681015492875,0,0,0.43565096306180623,1,1
SST,weak,0.2,3,6,WST,4,0.9387251233373071,0.07270250813653917,0.12663310556433446,0.20070872366933373,1,3,-6542.948762952582,13085.897525905175,0.003531073446327685,0.25,0.43363873923065327,0.9999254621347645,0.7991204531902207
SST,weak,0.2,5,0.75,DCSBM,4,0.8274845036150775,0.15645170317401447,0.26949103977476924,0.6257388165734442,0.25,4.25,-2591.0050856602925,5182.010171320588,0.03898305084745762,0.75,0.49604750987045954,0.7420708998849828,0.45655671158221856
SST,weak,0.2,5,0.75,SST,4,0.9285810232476774,0.142837953504645,0.2540157542081559,0.58980631623992,0.25,4,-2610.6776932080875,5221.355386416178,0.01624293785310734,0.25,0.480514132922093,0.7678907976950216,0.3914813647000987
SST,weak,0.2,5,0.75,WST,4,0.867699769626955,0.12181121035328221,0.22662761477807966,0.5262130258305335,0.25,4.75,-2597.5305259923575,5195.061051984718,0.012570621468926553,0,0.465247513744854,0.741574460226321,0.41888742518922373
SST,weak,0.2,5,1.5,DCSBM,4,0.842619872281937,0.1546369556916385,0.24035781376752888,0.5580935606125297,0.25,4,-4093.03801826064,8186.07603652128,0.009180790960451986,0.75,0.47237353671176524,1,0.6871888888888891
SST,weak,0.2,5,1.5,SST,4,0.9223275408109533,0.1553449183780935,0.3502404433260322,0.8132331253245191,0.25,3.25,-4129.78857747682,8259.577154953642,0.01031073446327682,0,0.46036881194231777,1,0.828477674966959
SST,weak,0.2,5,1.5,WST,4,0.842619872281937,0.1546369556916385,0.22449437771601452,0.5212598027630695,0.25,4,-4094.7996081305428,8189.599216261082,0.01709039548022599,0.25,0.45317256857071525,0.9989485370950888,0.6887162422193308
SST,weak,0.2,5,3,DCSBM,4,0.9345801301005323,0.13083973979893548,0.04306765580733931,0.1,0.75,4.75,-5066.256966562957,10132.513933125898,0.001836158192090395,1,0.4666077619658897,1,0.8131559523809522
SST,weak,0.2,5,3,SST,4,0.9223275408109533,0.1553449183780935,0.48159389659491514,1.1182263988300125,0.25,2.75,-5325.1471628468225,10650.294325693625,0.0022598870056497176,0,0.4701363734325723,0.999960060707724,0.698975842433786
SST,weak,0.2,5,3,WST,4,0.9345801301005323,0.13083973979893548,0.04306765580733931,0.1,0.75,4.75,-5067.7791627195675,10135.558325439144,0.00706214689265537,0,0.4545573134823005,1,0.8131764480970944
SST,weak,0.2,5,6,DCSBM,4,1,0,0,0,1,5,-6378.011273447095,12756.022546894199,0.0016949152542372874,0.75,0.464454943626627,0.9976481481481483,0.6023518518518518
SST,weak,0.2,5,6,SST,4,0.9238839734652893,0.1253422997623333,0.20656435415723134,0.47962757731993855,0.5,4,-6621.599580088157,13243.1991601763,0.002542372881355933,0,0.475233022085794,0.9409444444444444,0.725537037037037
SST,weak,0.2,5,6,WST,4,1,0,0,0,1,5,-6377.141069560863,12754.282139121726,0.0014124293785310752,0.25,0.4607586245361085,1,0.6
SST,weak,0.2,8,0.75,DCSBM,4,0.6490963383874228,0.24419343484145792,0.7161072447258668,2.1483217341776006,0,3.5,-2757.7431790047226,5515.48635800945,0.032909604519774,0.25,0.464155356190058,0.922916627947869,0.43505812945651307
SST,weak,0.2,8,0.75,SST,4,0.8391524719812182,0.20663244021211724,0.6786913600840254,2.0360740802520763,0,3.75,-2741.0656042584674,5482.131208516932,0.0032485875706214726,0,0.45182554026349453,0.8864169810098995,0.41417615912700745
SST,weak,0.2,8,0.75,WST,4,0.6589785082474917,0.23283960810313598,0.5246298566386269,1.573889569915881,0.25,5.75,-2715.60284499265,5431.205689985302,0.004378531073446327,0.75,0.4425216858640535,0.8488334815785203,0.40073032996657865
SST,weak,0.2,8,1.5,DCSBM,4,0.6895903200957887,0.07544052425455501,0.3222753543127305,0.9668260629381915,0,5.5,-3896.124378160893,7792.248756321786,0.012711864406779676,0,0.469957912540487,0.8928641416394623,0.42279688064784227
SST,weak,0.2,8,1.5,SST,4,0.644826470615965,0.13384857197693564,0.5234130218726811,1.5702390656180434,0,4.25,-3976.6491199090674,7953.2982398181375,0.009180790960451955,0,0.4765363167980165,0.784781626507719,0.364525242676322
SST,weak,0.2,8,1.5,WST,4,0.93433960397672,0.13132079204656,0.10317829949256616,0.3095348984776985,0.5,7.5,-3831.838876698535,7663.677753397074,0.012288135593220348,1,0.455458528800753,0.8881488727968008,0.41057205826000026
SST,weak,0.2,8,3,DCSBM,4,0.8743969414562103,0.08545303268771355,0.0845216992210745,0.2535650976632235,0.25,7,-5382.819686659075,10765.63937331815,0.00480225988700566,0,0.4883619880135825,0.8187140430647782,0.459396156512333
SST,weak,0.2,8,3,SST,4,0.8714165775729,0.1490719334251842,0.572417399245025,1.717252197735075,0,3,-5746.6184342022425,11493.2368684045,0.006638418079096041,0,0.4918206167531715,0.9993333333333333,0.35161257967225906
SST,weak,0.2,8,3,WST,4,1,0,0,0,1,8,-5308.085147856763,10616.170295713526,5.649717514124276e-4,1,0.47072673028439,0.795093960036476,0.3426995118100265
SST,weak,0.2,8,6,DCSBM,4,0.961145867632532,0.07770826473493597,0.020766492332950755,0.06229947699885226,0.75,7.75,-6522.929544405768,13045.859088811525,0,0.75,0.46023130756437725,0.9357348217879528,0.5529183622618157
SST,weak,0.2,8,6,SST,4,0.771369198145489,0.16286002082184023,0.6531226796651883,1.959368038995565,0,2.75,-7337.299647406495,14674.599294812975,0.005790960451977407,0,0.47999773581358696,0.999925925925926,0.9685
SST,weak,0.2,8,6,WST,4,0.961145867632532,0.07770826473493597,0.020766492332950755,0.06229947699885226,0.75,7.75,-6492.079029266208,12984.158058532425,1.41242937853105e-4,0.25,0.4573819147069457,0.942278173895821,0.564437264804912
WST,medium,0.7,3,0.75,DCSBM,4,0.8822330104682885,0.10939076880119537,0.4670719175815587,0.740291474506693,0.75,2.5,-2623.9444013702523,5247.888802740505,0.029096045197740096,0.5,0.423014307387678,1,0.348662654450835
WST,medium,0.7,3,0.75,SST,4,0.922479984174216,0.12372129287638432,0.3799109517697567,0.6021446121683481,0.75,2.5,-2625.2587055081976,5250.51741101639,0.006073446327683622,0.5,0.344430670718577,1,0.3903053693110474
WST,medium,0.7,3,0.75,WST,4,0.873284378916221,0.12172949939400804,0.4765756884152442,0.7553545948935321,0.75,2.5,-2628.50204034995,5257.004080699895,0.004661016949152537,0,0.34861757708908175,1,0.36598018162359597
WST,medium,0.7,3,1.5,DCSBM,4,0.86081682990767,0.24589368660176839,0.22193492512581622,0.3517585339247763,0.75,2.75,-3819.77899661671,7639.557993233415,0.006638418079096053,0.75,0.33900496223881577,1,0.33333333333333337
WST,medium,0.7,3,1.5,SST,4,0.8488880230486635,0.2412672195204874,0.24170616697357594,0.38309521084616427,0.75,2.75,-3823.4330865053053,7646.866173010612,0.00889830508474577,0,0.3233803471875905,1,0.33333333333333337
WST,medium,0.7,3,1.5,WST,4,0.9397054641112763,0.07199194723634039,0.1159179035458904,0.1837255302824482,1,3,-3820.1034476265077,7640.206895253015,0.005367231638418088,0.25,0.3281565943961035,0.9997844827586208,0.4161637931034482
WST,medium,0.7,3,3,DCSBM,4,0.9621720260406392,0.025218649306240515,0.09091731758385925,0.1441005390365731,1,3,-4949.210600121713,9898.421200243429,0.005225988700564972,0.75,0.34741668546730897,1,0.5165555555555555
WST,medium,0.7,3,3,SST,4,0.971070137428759,0.0339506142543847,0.16308900079149358,0.2584899505346002,0.75,2.75,-4969.558587012023,9939.117174024042,0.00988700564971751,0,0.330326329319836,1,0.6577777777777777
WST,medium,0.7,3,3,WST,4,0.9747813506937595,0.02911998793111346,0.06061154505590626,0.09606702602438222,1,3,-4946.512356992597,9893.024713985185,0.005649717514124288,0.25,0.33525162697851624,1,0.5123467854641275
WST,medium,0.7,3,6,DCSBM,4,1,0,2.8018909573444354e-16,4.44089209850063e-16,1,3,-6698.6456001067,13397.2912002134,2.8248587570621497e-4,1,0.3481992722908315,1,0.25
WST,medium,0.7,3,6,SST,4,0.754552434573585,0.2834621449106134,0.343093146120693,0.5437897708557426,0.25,2.25,-6865.044088013147,13730.0881760263,2.8248587570621497e-4,0,0.3461747089098772,1,0
WST,medium,0.7,3,6,WST,4,1,0,2.8018909573444354e-16,4.44089209850063e-16,1,3,-6699.731424302898,13399.4628486058,0.001694915254237285,0,0.34821603433141374,1,0.25
WST,medium,0.7,5,0.75,DCSBM,4,0.8162507514866613,0.18832091870742007,0.2782445686285254,0.6460638811483881,0.5,4.25,-2758.337432130755,5516.674864261505,0.037570621468926535,0.5,0.39281426581441775,0.9829870056219803,0.23238801563557443
WST,medium,0.7,5,0.75,SST,4,0.7390641653379267,0.13315966866588122,0.49594951614375615,1.1515591151799807,0.5,3.75,-2789.3018259870723,5578.60365197415,0.012711864406779676,0.25,0.34578056518565825,0.999504152674756,0.20526389045475346
WST,medium,0.7,5,0.75,WST,4,0.798664307852664,0.13636440014312207,0.2760404146613735,0.6409459941266005,0.5,4.25,-2755.99056462837,5511.981129256736,0.0050847457627118745,0.25,0.355097121962927,0.9870698455162228,0.22136058946299567
WST,medium,0.7,5,1.5,DCSBM,4,0.8100082252439427,0.1961035762369444,0.2221770108919745,0.515879043628171,0.5,4.25,-3880.4715548146078,7760.9431096292155,0.01454802259887004,0.75,0.38552186586792275,1,0.510558547008547
WST,medium,0.7,5,1.5,SST,4,0.894810088667359,0.1829717367177851,0.37210344854311633,0.8639974513767357,0.5,3.5,-3937.436654582185,7874.873309164373,0.009322033898305075,0,0.3646787637388538,1,0.6424070790440793
WST,medium,0.7,5,1.5,WST,4,0.8467060262573125,0.15450293776210633,0.14463836072993455,0.33583987337728805,0.5,4.5,-3881.0158189633776,7762.03163792675,0.01115819209039547,0.25,0.358557693113488,1,0.3219114675905771
WST,medium,0.7,5,3,DCSBM,4,1,0,0,0,1,5,-5299.57212526484,10599.14425052968,0.0026836158192090403,1,0.3606232059854405,1,0.20021111111111103
WST,medium,0.7,5,3,SST,4,0.7631324842685288,0.15807847350797258,0.28683286015364345,0.6660052765276425,0.25,3.5,-5489.994031782105,10979.988063564193,0.005508474576271185,0,0.3453461140649082,1,0.19074032903512675
WST,medium,0.7,5,3,WST,4,1,0,0,0,1,5,-5300.799526425255,10601.599052850532,0.00324858757062147,0,0.33699090410778826,1,0.20021348007087875
