source_file,gen_model,K_true,density,hierch,rep_id,scenario_id,theta_ocrp,dgp_partition,comparison,block_low,block_high,block_pair,block_distance,n_dyads,sum_delta,se_delta,z_abs,significant_2se,mean_delta,positive_fraction,mean_Nij,mean_Aij,mean_Aji,mean_total_edges,mean_net_edges
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,WST_minus_DC,3,5,3-5,2,51,-1.6834040688692224,0.4970539174467249,3.386763507501483,TRUE,-0.03300792291900436,0.19607843137254902,1.5490196078431375,0.627450980392157,0.9215686274509802,1.5490196078431375,-0.2941176470588233
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,WST_minus_DC,4,8,4-8,4,40,1.669606733506637,1.6669025557437605,1.001622277051264,FALSE,0.041740168337665924,0.625,0.7,0.42500000000000004,0.275,0.7,0.15
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,WST_minus_DC,1,1,1-1,0,3,1.545350162262932,0.7304580068231333,2.1155906949174006,TRUE,0.5151167207543106,1,1.6666666666666667,0.6666666666666666,1,1.6666666666666667,-0.33333333333333337
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,WST_minus_DC,1,4,1-4,3,15,-1.2324430784480367,2.2072176249672912,0.5583695347966878,FALSE,-0.08216287189653579,0.8666666666666667,0.6666666666666667,0.2666666666666667,0.4,0.6666666666666667,-0.13333333333333336
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,WST_minus_DC,5,7,5-7,2,12,-1.1622885377091454,0.24900653620109506,4.667702926362115,TRUE,-0.09685737814242878,0,1.8333333333333335,1.25,0.5833333333333334,1.8333333333333335,0.6666666666666667
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,WST_minus_DC,5,6,5-6,1,60,-1.156038593974359,0.31022851920695593,3.72640979923305,TRUE,-0.01926730989957265,0.2,0.45,0.25,0.20000000000000004,0.45,0.05000000000000003
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,WST_minus_DC,2,6,2-6,4,80,-1.1354039536231708,0.9504822712763534,1.1945556355285782,FALSE,-0.014192549420289632,0.7625,0.9750000000000001,0.3125,0.6625,0.9750000000000001,-0.3500000000000001
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,WST_minus_DC,1,8,1-8,7,24,1.1103479559903824,1.3326798712956553,0.8331693003743518,FALSE,0.04626449816626592,0.8333333333333334,0.16666666666666666,0.16666666666666666,0,0.16666666666666666,0.16666666666666666
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,WST_minus_DC,4,6,4-6,2,100,-1.0321677493171166,1.0249237280026935,1.0070678637995236,FALSE,-0.010321677493171163,0.42,1.01,0.4700000000000001,0.54,1.01,-0.06999999999999994
loo_pointwise_rep001_SST_appModerate_SST_K8_kappa_0.6_app_moderate_seed1001.csv,SST,8,kappa_0.6,app_moderate,1,SST_appModerate,2.1959442631574,OCRP_MIN,WST_minus_DC,5,8,5-8,3,24,-0.9653415780685379,0.4951462838868558,1.949608851935007,FALSE,-0.04022256575285575,0.3333333333333333,0.45833333333333337,0.20833333333333331,0.25,0.45833333333333337,-0.04166666666666667
